id,text,next,type,backlink,next_on_complete,section,result,depends_on
intro:d:intro,Welcome to our utility for helping members of the trans community obtain US passports with their correct gender marker!,"[{""key"": ""elibility:d:intro"", ""label"": ""Start""}]",description,,,intro,,
elibility:d:intro,Gotta first check whether you can receive a passport.,"[{""key"": ""eligibility:q:is_citizen"", ""label"": """"}]",description,,,eligibility,,
eligibility:q:is_citizen,Are you a US citizen?,"[{""key"": ""eligibility:a:is_citizen"", ""label"": """"}, {""key"": ""eligibility:a:is_non-citizen-national"", ""label"": """"}, {""key"": ""eligibility:a:is_non-citizen"", ""label"": """"}]",question,,,eligibility,,
eligibility:a:is_citizen,"Yep,I'm a US citizen!","[{""key"": ""elibility:r:is_citizen"", ""label"": """"}]",answer,,,eligibility,"{""eligible"": true}",
elibility:r:is_citizen,<Placeholder for how to prove citizenship>,"[{""key"": ""trans:q:is_trans"", ""label"": ""Next!""}]",recommendation,,,,,"{""eligible"": true}"
eligibility:a:is_non-citizen-national,"I'm a US non-citizen national, actually.","[{""key"": ""elibility:r:is_non-citizen-national"", ""label"": """"}]",answer,,,eligibility,"{""eligible"": true}",
elibility:r:is_non-citizen-national,<Placeholder for how to prove nationality>,"[{""key"": ""trans:q:is_trans"", ""label"": ""Next!""}]",recommendation,,,,,"{""eligible"": true}"
eligibility:a:is_non-citizen,"No, I am neither.","[{""key"": ""eligibility:r:is_non-citizen"", ""label"": """"}]",answer,,,eligibility,"{""eligible"": false}",
eligibility:r:is_non-citizen,"Unfortunately, US citizenship or being a US non-citizen national is a requirement of obtaining a US passport.","[{""key"": ""eligibility:r:apply-citizen"", ""label"": """"}]",recommendation,,,eligibility,,"{""eligible"": false}"
eligibility:r:apply-citizen,"If you're interesting in becoming a US citizen, you can check out the process and requirements at the US Citizenship and Immigration Services website","[{""key"": """", ""label"": ""US Citizenship and Immigration Services website"", ""resource"": ""https://www.uscis.gov/us-citizenship""}, {""key"": ""summary:d:intro3"", ""label"": ""Finish""}]",recommendation,,,eligibility,,"{""eligible"": false}"
trans:q:is_trans,"Awesome. One more thing: Are you a male or female transgender person, non-binary trans person, or parent of a transgender minor child helping them with their passport? (If you yourself are also trans, remember to take another pass through the utility for yourself, too!)","[{""key"": ""trans:a:is_trans-binary"", ""label"": """"}, {""key"": ""trans:a:is_trans-nonbinary"", ""label"": """"}, {""key"": ""trans:a:is_trans-parent"", ""label"": """"}, {""key"": ""trans:a:is_trans-none-of-the-above"", ""label"": """"}]",question,,,trans,,"{""eligible"": true}"
trans:a:is_trans-binary,I am a male or female transgender person.,"[{""key"": ""trans:q:has_currently-transitioning-passport"", ""label"": """"}]",answer,,,trans,"{""is_trans"": true, ""is_binary"": true}","{""eligible"": true}"
